Stop Duration,"From Location (lat, lng)",From Time,"To Location (lat, lng)",To Time,Fuel Before (Ltr),Fuel After (Ltr),Fuel Diff (Ltr),Remark,From-To Distance (km)
13m,"9.046802, 38.63609",12-05-2025 16:16:20,"9.046877, 38.636143",12-05-2025 16:30:07,45.50,25.60,-19.90,Theft,0.01
56m,"9.040463, 38.63342",14-05-2025 17:53:21,"9.04044, 38.633453",14-05-2025 18:50:14,37.23,78.67,41.44,Filling,0.00
19m,"9.1921015, 40.65885",15-05-2025 19:48:02,"9.19234, 40.659367",15-05-2025 20:07:53,128.00,70.67,-57.33,Theft,0.06
31m,"9.216403, 41.100735",16-05-2025 07:18:38,"9.21648, 41.10084",16-05-2025 07:49:49,69.71,29.60,-40.11,Theft,0.01
21m,"9.312132, 42.128624",16-05-2025 23:55:06,"9.311932, 42.12857",17-05-2025 00:16:47,61.21,126.00,64.79,Filling,0.02
15m,"9.310535, 42.107132",17-05-2025 00:29:06,"9.310554, 42.107143",17-05-2025 00:44:17,27.00,78.91,51.91,Filling,0.00
30m,"10.752472, 42.571968",17-05-2025 10:29:27,"10.752492, 42.57197",17-05-2025 10:59:46,53.71,30.00,-23.71,Theft,0.00
21m,"11.037537, 42.630657",17-05-2025 11:44:36,"11.0376, 42.630604",17-05-2025 12:05:57,127.64,48.40,-79.24,Theft,0.01
57m,"11.562368, 43.00838",17-05-2025 18:08:19,"11.562206, 43.008205",17-05-2025 19:05:26,50.24,23.67,-26.57,Theft,0.03
9hr 19m,"11.55634, 43.008106",18-05-2025 07:10:03,"11.556555, 43.00802",18-05-2025 16:30:01,41.91,29.60,-12.31,Theft,0.03
57m,"11.0367, 42.63067",18-05-2025 21:39:33,"11.036665, 42.630726",18-05-2025 22:37:12,94.00,32.00,-62.00,Theft,0.01
48m,"9.143635, 41.008373",20-05-2025 07:35:28,"9.14355, 41.008335",20-05-2025 08:23:45,120.77,33.60,-87.17,Theft,0.01
4hr 36m,"8.78414, 38.91481",20-05-2025 21:21:49,"8.784186, 38.914703",21-05-2025 01:58:29,114.53,80.00,-34.53,Theft,0.01
